,Feature,Importance
4,GDP per capita (current US$),0.33
9,Urban population (% of total),0.25
0,"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.23
3,CO2 emissions from solid fuel consumption (kt),0.05
2,Arable land (hectares per person),0.04
8,Population density (people per sq. km of land area),0.03
7,Permanent cropland (% of land area),0.03
1,Arable land (% of land area),0.02
5,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",0.01
6,Merchandise trade (% of GDP),0.01
