,feature,VIF
0,"Adolescent fertility rate (births per 1,000 women ages 15-19)",2.554039168858667
1,Arable land (% of land area),2.8391403214617994
2,Arable land (hectares per person),2.047759342626995
3,CO2 emissions from solid fuel consumption (kt),1.0570336556118884
4,GDP per capita (current US$),1.9083397360641325
5,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",1.5849723340900097
6,Merchandise trade (% of GDP),2.560760199519767
7,Permanent cropland (% of land area),1.5981194460206254
8,Population density (people per sq. km of land area),2.272673340272602
9,Urban population (% of total),4.830342176620357
